file,class,reasoner,iterations,time,n_subsumers,subsumers
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000002,3,,,2,"['BFO_0000002', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000002,1,2,0.0781,2,"['BFO_0000002', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000002,2,2,0.1334,2,"['BFO_0000002', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000182,3,,,4,"['BFO_0000015', 'BFO_0000003', 'BFO_0000001', 'BFO_0000182']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000182,1,4,0.2704,4,"['BFO_0000001', 'BFO_0000182', 'BFO_0000003', 'BFO_0000015']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000182,2,4,0.1524,4,"['BFO_0000001', 'BFO_0000182', 'BFO_0000003', 'BFO_0000015']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000026,3,,,6,"['BFO_0000141', 'BFO_0000026', 'BFO_0000006', 'BFO_0000004', 'BFO_0000002', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000026,1,6,0.2544,6,"['BFO_0000006', 'BFO_0000004', 'BFO_0000026', 'BFO_0000141', 'BFO_0000002', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000026,2,6,0.229,6,"['BFO_0000006', 'BFO_0000004', 'BFO_0000026', 'BFO_0000141', 'BFO_0000002', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000008,3,,,3,"['BFO_0000008', 'BFO_0000003', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000008,1,3,0.1483,3,"['BFO_0000008', 'BFO_0000003', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000008,2,3,0.168,3,"['BFO_0000008', 'BFO_0000003', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000148,3,,,4,"['BFO_0000148', 'BFO_0000008', 'BFO_0000003', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000148,1,4,0.1682,4,"['BFO_0000008', 'BFO_0000148', 'BFO_0000003', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000148,2,4,0.3239,4,"['BFO_0000008', 'BFO_0000148', 'BFO_0000003', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000028,3,,,6,"['BFO_0000141', 'BFO_0000006', 'BFO_0000004', 'BFO_0000002', 'BFO_0000028', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000028,1,6,0.2623,6,"['BFO_0000006', 'BFO_0000004', 'BFO_0000028', 'BFO_0000141', 'BFO_0000002', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000028,2,6,0.3462,6,"['BFO_0000006', 'BFO_0000004', 'BFO_0000028', 'BFO_0000141', 'BFO_0000002', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000004,3,,,3,"['BFO_0000004', 'BFO_0000002', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000004,1,3,0.1241,3,"['BFO_0000002', 'BFO_0000004', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000004,2,3,0.117,3,"['BFO_0000002', 'BFO_0000004', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000017,3,,,4,"['BFO_0000020', 'BFO_0000002', 'BFO_0000001', 'BFO_0000017']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000017,1,4,0.2296,4,"['BFO_0000002', 'BFO_0000017', 'BFO_0000020', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000017,2,4,0.2735,4,"['BFO_0000002', 'BFO_0000017', 'BFO_0000020', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000018,3,,,6,"['BFO_0000141', 'BFO_0000006', 'BFO_0000004', 'BFO_0000018', 'BFO_0000002', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000018,1,6,0.539,6,"['BFO_0000006', 'BFO_0000004', 'BFO_0000018', 'BFO_0000141', 'BFO_0000002', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000018,2,6,0.3542,6,"['BFO_0000006', 'BFO_0000004', 'BFO_0000018', 'BFO_0000141', 'BFO_0000002', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000146,3,,,6,"['BFO_0000140', 'BFO_0000141', 'BFO_0000146', 'BFO_0000004', 'BFO_0000002', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000146,1,6,0.3983,6,"['BFO_0000004', 'BFO_0000146', 'BFO_0000140', 'BFO_0000141', 'BFO_0000002', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000146,2,6,0.2947,6,"['BFO_0000004', 'BFO_0000146', 'BFO_0000140', 'BFO_0000141', 'BFO_0000002', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000023,3,,,5,"['BFO_0000023', 'BFO_0000020', 'BFO_0000002', 'BFO_0000001', 'BFO_0000017']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000023,1,5,0.2617,5,"['BFO_0000023', 'BFO_0000017', 'BFO_0000002', 'BFO_0000020', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000023,2,5,0.1921,5,"['BFO_0000023', 'BFO_0000017', 'BFO_0000002', 'BFO_0000020', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000009,3,,,6,"['BFO_0000141', 'BFO_0000006', 'BFO_0000004', 'BFO_0000002', 'BFO_0000001', 'BFO_0000009']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000009,1,6,0.3013,6,"['BFO_0000006', 'BFO_0000004', 'BFO_0000141', 'BFO_0000009', 'BFO_0000002', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000009,2,6,0.1829,6,"['BFO_0000006', 'BFO_0000004', 'BFO_0000141', 'BFO_0000009', 'BFO_0000002', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000141,3,,,4,"['BFO_0000141', 'BFO_0000004', 'BFO_0000002', 'BFO_0000001']"
